name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult
"Sinners", "7.5", "493160", "https://www.imdb.com/title/tt31193180/", "https://m.media-amazon.com/images/M/MV5BNjIwZWY4ZDEtMmIxZS00NDA4LTg4ZGMtMzUwZTYyNzgxMzk5XkEyXkFqcGc@._V1_.jpg", "Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.", "Horror", "137", "R", "1930s, supernatural horror, period horror, vampire, urination", "US", "73", "DOWN 9", "Ryan Coogler", "", "Michael B. Jordan, Jack O'Connell, Hailee Steinfeld", "Michael B. Jordan, Jack O'Connell, Hailee Steinfeld, Miles Caton", "USD 90,000,000", "USD 48,007,468", "USD 279,989,632", "USD 370,333,701", "New Orleans, Louisiana, USA", "English, Chinese", "Datasat, Dolby Atmos, SDDS, DTS 70 mm, Dolby Surround 7.1, Dolby Digital, Auro 11.1, DTS:X, IMAX 6-Track", "2.76 : 1", "Color", "338", "503", "Movie", "False", "False", "False"
"Weapons", "7.4", "371127", "https://www.imdb.com/title/tt26581740/", "https://m.media-amazon.com/images/M/MV5BNTBhNWJjZWItYzY3NS00M2NkLThmOWYtYTlmNzBmN2UxZWFjXkEyXkFqcGc@._V1_.jpg", "When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.", "Horror, Mystery", "128", "R", "witchcraft, evil witch, missing children, female teacher, psychological horror", "US", "43", "UP 7", "Zach Cregger", "", "Julia Garner, Josh Brolin, Alden Ehrenreich", "Julia Garner, Josh Brolin, Alden Ehrenreich, Scarlett Sher", "USD 38,000,000", "USD 43,501,217", "USD 151,572,492", "USD 270,072,492", "Atlanta, Georgia, USA", "English", "Dolby Atmos, Dolby Digital, DTS:X, IMAX 6-Track, Auro 11.1, SDDS, 12-Track Digital Sound, Dolby", "", "Color", "62", "123", "Movie", "False", "False", "False"
"The Godfather", "9.2", "2232060", "https://www.imdb.com/title/tt0068646/", "https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_.jpg", "The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.", "Crime, Drama", "175", "R", "mafia, patriarch, crime family, organized crime, gangster", "US", "72", "UP 13", "Francis Ford Coppola", "Mario Puzo, Francis Ford Coppola", "Marlon Brando, Al Pacino, James Caan", "Marlon Brando, Al Pacino, James Caan, Richard S. Castellano", "USD 6,000,000", "USD 302,393", "USD 136,381,073", "USD 250,933,053", "Forza d'Agrò, Messina, Sicily, Italy", "English, Italian, Latin", "Mono, Dolby Digital", "1.85 : 1", "Color", "31", "31", "Movie", "False", "False", "False"
"Nampyeondeul", "6.2", "543", "https://www.imdb.com/title/tt36876775/", "https://m.media-amazon.com/images/M/MV5BOTUyMjUwNzctNzk3Yi00YTIwLTlhN2QtMTU4MTIzN2Q4OTkzXkEyXkFqcGc@._V1_.jpg", "An unpredictable operation by ex-husband Choong-sik and current husband Min-seok who unexpectedly join forces to rescue their wife who was kidnapped by a criminal organization.", "Action, Comedy, Crime", "107", "TV-MA", "organized crime, drug, gang, narco, criminal", "KR", "66", "UP 7204", "Gyu-tae Park", "", "Jin Seon-kyu, Gong Myoung, Kim Ji Suk", "Jin Seon-kyu, Gong Myoung, Kim Ji Suk, Yoon Kyung-ho", "", "", "", "", "", "Korean", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Marty Supreme", "7.6", "191741", "https://www.imdb.com/title/tt32916440/", "https://m.media-amazon.com/images/M/MV5BZTRhYjI1MTItMWYwMi00MjY5LWI1OTktMzQwNzA3MWJlN2QyXkEyXkFqcGc@._V1_.jpg", "Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.", "Comedy, Drama, Sport", "149", "R", "table tennis, new york city, hustler, male nudity, 1950s", "US", "48", "UP 8", "Josh Safdie", "Ronald Bronstein, Josh Safdie", "Timothée Chalamet, Gwyneth Paltrow, Odessa A'zion", "Timothée Chalamet, Gwyneth Paltrow, Odessa A'zion, Larry 'Ratso' Sloman", "USD 65,000,000", "USD 863,097", "USD 96,040,064", "USD 191,273,747", "Hancock, New York, USA", "English, Japanese, French, Bosnian", "Dolby Atmos, DTS 70 mm, 12-Track Digital Sound", "2.39 : 1", "Color", "45", "297", "Movie", "False", "False", "False"
"One Battle After Another", "7.6", "419407", "https://www.imdb.com/title/tt30144839/", "https://m.media-amazon.com/images/M/MV5BMzBkZmQ0NjMtNTZlMy00ZjdlLTg5ODUtYWFlNGM0YzE3MTg0XkEyXkFqcGc@._V1_.jpg", "When their enemy resurfaces after 16 years, a group of ex-revolutionaries reunite to rescue the daughter of one of their own.", "Crime, Drama, Thriller", "161", "R", "revolution, terrorism, political violence, based on novel, father daughter relationship", "US", "55", "DOWN 2", "Paul Thomas Anderson", "Paul Thomas Anderson, Thomas Pynchon", "Leonardo DiCaprio, Sean Penn, Benicio Del Toro", "Leonardo DiCaprio, Sean Penn, Benicio Del Toro, Teyana Taylor", "USD 130,000,000", "USD 22,000,387", "USD 72,918,884", "USD 213,133,443", "Murphy's Market - 4020 Walnut Drive, Eureka, California, USA", "English, Spanish", "IMAX 6-Track, Dolby Atmos, Dolby Surround 7.1, DTS:X, DTS 70 mm, Auro 11.1", "", "Color", "286", "505", "Movie", "False", "False", "False"
"Main Vaapas Aaunga", "8.4", "1930", "https://www.imdb.com/title/tt37333137/", "https://m.media-amazon.com/images/M/MV5BNDBkOWNiZGEtMjdkMy00MTEzLTgyYWItMDI4OGEyYzE3MDc4XkEyXkFqcGc@._V1_.jpg", "A story of love, longing, and belonging rooted in Partition-era migration. Examines memory, nostalgia, and emotional ties to home and loved ones, exploring how the past shapes identity and sustains the human spirit across generati...", "Comedy, Drama, History", "167", "", "period romance, india pakistan partition 1947, period drama, 20th century", "IN", "69", "UP 69", "Imtiaz Ali", "Imtiaz Ali, Nayanika Mahtani", "Diljit Dosanjh, Naseeruddin Shah, Vedang Raina", "Diljit Dosanjh, Naseeruddin Shah, Vedang Raina, Sharvari", "", "", "", "USD 200,529", "", "Hindi", "Dolby Digital", "2.39:1", "Color", "0", "0", "Movie", "False", "False", "False"
"Hexed", "0", "0", "https://www.imdb.com/title/tt38077943/", "https://m.media-amazon.com/images/M/MV5BMjQ4NDg5Y2YtZmQ3Ny00N2FjLWIyMGMtYzU1YzEyZTgyZjIwXkEyXkFqcGc@._V1_.jpg", "An awkward teen and her Type-A mother learn her peculiarities might be magical powers, transforming their lives and revealing a hidden magical realm.", "Animation, Adventure, Comedy", "0", "", "kids family, magical realm, magic, cg animation, hand drawn animation", "US", "70", "UP 1591", "", "", "Hailee Steinfeld, Rashida Jones, Stephen Fry", "Hailee Steinfeld, Rashida Jones, Stephen Fry, Tracey Ullman", "", "", "", "", "Walt Disney Animation Studios, Vancouver BC", "English", "Dolby Surround 7.1, DTS, Dolby Atmos, Dolby Digital", "", "Color", "0", "0", "Movie", "False", "False", "False"
"Kolory zla. Czern", "5.9", "1926", "https://www.imdb.com/title/tt38681832/", "https://m.media-amazon.com/images/M/MV5BMjQ0YzU1NTktYjYzMS00ZTUyLWFlYjQtNTRiOWJiZDVkZTFmXkEyXkFqcGc@._V1_.jpg", "When a young boy goes missing in a small town, a newly reassigned prosecutor begins to uncover unexpected links to an old missing persons case.", "Crime, Drama", "110", "TV-MA", "sex scene, male nudity, bare chested male, male rear nudity", "PL", "71", "DOWN 49", "Adrian Panek", "Adrian Panek, Malgorzata Oliwia Sobczak", "Jakub Gierszal, Marianna Zydek, Andrzej Chyra", "Jakub Gierszal, Marianna Zydek, Andrzej Chyra, Beata Scibakówna", "", "", "", "", "", "Polish", "", "2.00 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Avatar: Fire and Ash", "7.2", "175762", "https://www.imdb.com/title/tt1757678/", "https://m.media-amazon.com/images/M/MV5BZDYxY2I1OGMtN2Y4MS00ZmU1LTgyNDAtODA0MzAyYjI0N2Y2XkEyXkFqcGc@._V1_.jpg", "Jake and Neytiri&apos;s family grapples with grief, encountering a new, aggressive Na&apos;vi tribe, the Ash People, who are led by the fiery Varang, as the conflict on Pandora escalates and a new moral focus emerges.", "Action, Adventure, Fantasy", "197", "PG-13", "alien, third part, sequel, 3d, tribe", "US", "76", "DOWN 7", "James Cameron", "James Cameron, Rick Jaffa, Amanda Silver", "Sam Worthington, Zoe Saldaña, Sigourney Weaver", "Sam Worthington, Zoe Saldaña, Sigourney Weaver, Stephen Lang", "USD 400,000,000", "USD 89,160,860", "USD 404,340,010", "USD 1,485,999,890", "New Zealand", "English", "IMAX 6-Track, 12-Track Digital Sound, Auro 11.1, Dolby Atmos", "", "Color", "41", "59", "Movie", "False", "False", "False"
"Cape Fear", "7.3", "245471", "https://www.imdb.com/title/tt0101540/", "https://m.media-amazon.com/images/M/MV5BNTBkNTYwZTctOTgxYS00ZmIyLTgzNDAtODJhZjg2MDUwNmFlXkEyXkFqcGc@._V1_.jpg", "A convicted rapist, released from prison after serving a fourteen-year sentence, stalks the family of the lawyer who originally defended him.", "Crime, Drama, Thriller", "128", "R", "brutal rape, houseboat, attempted rape, home invasion, bible quote", "US", "73", "DOWN 33", "Martin Scorsese", "John D. MacDonald, James R. Webb, Wesley Strick", "Robert De Niro, Nick Nolte, Jessica Lange", "Robert De Niro, Nick Nolte, Jessica Lange, Juliette Lewis", "USD 35,000,000", "USD 10,261,025", "USD 79,091,969", "USD 182,291,969", "Savannah, Georgia, USA", "English", "Dolby SR, Dolby Digital", "2.35 : 1", "Color", "5", "21", "Movie", "False", "False", "False"
"Minions &amp; Monsters", "9", "24", "https://www.imdb.com/title/tt32890033/", "https://m.media-amazon.com/images/M/MV5BYzBjMDg4YjctYzg3ZS00ZDFmLWI1YjctM2RkZGVjZWEyYWQ0XkEyXkFqcGc@._V1_.jpg", "Follows the Minions in 1920s Hollywood as they search for frightening creatures for their monster movie, partner with a green creature, and must save the planet after unleashing monsters.", "Animation, Adventure, Comedy", "90", "PG", "cg animation, farce comedy, cgi animation, despicable me's minion character, slapstick comedy", "US", "74", "UP 72", "", "Pierre Coffin, Brian Lynch", "Zoey Deutch, Bobby Moynihan, Allison Janney", "Zoey Deutch, Bobby Moynihan, Allison Janney, Jeff Bridges", "", "", "", "", "", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"My Fault: London", "6.2", "16863", "https://www.imdb.com/title/tt32434379/", "https://m.media-amazon.com/images/M/MV5BN2MzOTJiOTItODBjOS00MjVhLWFiOWQtOTVjOTAyM2NkODM2XkEyXkFqcGc@._V1_.jpg", "An 18-year-old girl moves from America to London with her mother and wealthy stepfather. When she meets her stepbrother, an attraction sparks despite their efforts. Her estranged father also tracks her down after his release from ...", "Drama, Romance", "120", "TV-MA", "teenager bound and gagged, female pedal pumping, release from prison, racing instructor, teenage girl bound and gagged", "GB", "75", "UP 650", "", "Melissa Osborne, Mercedes Ron", "Asha Banks, Matthew Broome, Eve Macklin", "Asha Banks, Matthew Broome, Eve Macklin, Ray Fearon", "", "", "", "", "Tenerife, Canary Islands, Spain", "English", "", "", "Color", "1", "3", "Movie", "False", "False", "False"
"Now You See Me: Now You Don&apos;t", "5.9", "69809", "https://www.imdb.com/title/tt4712810/", "https://m.media-amazon.com/images/M/MV5BYmZmZDc1Y2EtMmU2MS00NmMzLTllZmYtNjlkODFkNjZlOGE0XkEyXkFqcGc@._V1_.jpg", "The Four Horsemen reunite and team up with a new generation of young illusionists to expose a diamond heiress&apos;s global money laundering scheme for criminals.", "Crime, Thriller", "113", "PG-13", "sequel, third part, ensemble cast, magic, illusion", "US", "76", "UP 172", "Ruben Fleischer", "Michael Lesslie, Paul Wernick, Rhett Reese", "Jesse Eisenberg, Woody Harrelson, Dave Franco", "Jesse Eisenberg, Woody Harrelson, Dave Franco, Isla Fisher", "USD 90,000,000", "USD 21,013,793", "USD 61,882,396", "USD 246,314,050", "Belgium", "English, French", "Dolby Atmos", "2.39 : 1", "Color", "0", "3", "Movie", "False", "False", "False"
"Bugonia", "7.4", "201525", "https://www.imdb.com/title/tt12300742/", "https://m.media-amazon.com/images/M/MV5BNzIzNWQxMjEtZmQ3MS00OTk2LWFlZjktZDUyYWRkM2M3NWVlXkEyXkFqcGc@._V1_.jpg", "Two conspiracy-obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.", "Comedy, Crime, Sci-Fi", "118", "R", "kidnapping, conspiracy, remake, chained in basement, nudity", "IE", "66", "UP 2", "Yorgos Lanthimos", "Will Tracy, Jang Joon-hwan", "Emma Stone, Jesse Plemons, Aidan Delbis", "Emma Stone, Jesse Plemons, Aidan Delbis, J. Carmen Galindez Barrera", "", "USD 709,848", "USD 17,692,390", "USD 43,505,497", "Sarakiniko Beach, Milos Island, Greece", "English", "Dolby Digital, 12-Track Digital Sound, Dolby Atmos", "1.50 : 1", "Color", "12", "144", "Movie", "False", "False", "False"
"Scream 7", "5.5", "58244", "https://www.imdb.com/title/tt27047903/", "https://m.media-amazon.com/images/M/MV5BMzk2YzRjYmItNTA5Mi00ODczLTljYzUtOWE1ZDFkODhlZWJlXkEyXkFqcGc@._V1_.jpg", "When a new Ghostface killer emerges in the town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target.", "Horror, Mystery, Thriller", "114", "R", "serial killer, ghostface, knife, sequel, seventh part", "US", "50", "DOWN 16", "Kevin Williamson", "Kevin Williamson, Guy Busick, James Vanderbilt", "Neve Campbell, Courteney Cox, Isabel May", "Neve Campbell, Courteney Cox, Isabel May, Jasmin Savoy Brown", "USD 45,000,000", "USD 63,615,172", "USD 121,935,967", "USD 207,999,405", "Atlanta, Georgia, USA", "English", "Dolby Atmos, Dolby Digital, IMAX 5.0", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"28 Years Later: The Bone Temple", "7.2", "109378", "https://www.imdb.com/title/tt32141377/", "https://m.media-amazon.com/images/M/MV5BZGU2M2Y1YTItMWYxNS00NDYxLThhOTYtNjNhOWUzNjA3MTYwXkEyXkFqcGc@._V1_.jpg", "As Spike is inducted into Jimmy Crystal&apos;s gang on the mainland, Dr. Kelson makes a discovery that could alter the world.", "Horror, Sci-Fi, Thriller", "109", "R", "sequel, zombie, fear, post apocalypse, male frontal nudity", "GB", "79", "UP 48", "Nia DaCosta", "", "Jack O'Connell, Alfie Williams, Connor Newall", "Jack O'Connell, Alfie Williams, Connor Newall, Erin Kellyman", "USD 63,000,000", "USD 12,521,327", "USD 25,147,583", "USD 58,526,824", "Ennerdale, Cumbria, England, UK", "English", "Dolby Digital, Dolby Atmos", "2.39 : 1", "Color", "0", "3", "Movie", "False", "False", "False"
"Evil Dead Burn", "0", "0", "https://www.imdb.com/title/tt31170389/", "https://m.media-amazon.com/images/M/MV5BZTljMTZjZTItZjMzZi00NDBhLWFmMzAtOGNiNTlhY2MxMzg5XkEyXkFqcGc@._V1_.jpg", "After the loss of her husband, a woman seeks solace with her in-laws. As one by one they transform into deadites, she comes to discover that the vows she took in life - survive even in death.", "Fantasy, Horror, Mystery", "120", "R", "deadites, body horror, supernatural horror, zombie horror, suspense mystery", "NZ", "80", "UP 81", "Sébastien Vanicek", "Florent Bernard, Sam Raimi, Sébastien Vanicek", "Luciane Buchanan, Hunter Doohan, Souheila Yacoub", "Luciane Buchanan, Hunter Doohan, Souheila Yacoub, Erroll Shand", "", "", "", "", "Auckland, New Zealand", "English", "", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Tuner", "7.5", "5549", "https://www.imdb.com/title/tt33296751/", "https://m.media-amazon.com/images/M/MV5BNDA0ZjZjYTktZjg1MC00MDRiLWEzYjItMTQ1ZWFkOTUxNjc0XkEyXkFqcGc@._V1_.jpg", "A talented piano tuner who suffers from hyperacusis discovers an unexpected aptitude for cracking safes, turning his life upside down.", "Crime, Drama, Music", "107", "R", "heist crime, eating paper, love affair, piano concert, wristwatch", "CA", "51", "DOWN 14", "Daniel Roher", "Daniel Roher, Robert Ramsey", "Leo Woodall, Dustin Hoffman, Alisen Richmond-Peck", "Leo Woodall, Dustin Hoffman, Alisen Richmond-Peck, Ellyn Jameson", "", "USD 104,420", "USD 3,774,577", "USD 8,992,475", "Toronto, Ontario, Canada", "English", "", "", "Color", "0", "1", "Movie", "False", "False", "False"
"The Bride!", "5.6", "32504", "https://www.imdb.com/title/tt30851137/", "https://m.media-amazon.com/images/M/MV5BM2VmMDVlNzgtNThhZC00ZGMwLTg4MmEtZTUzNmRiYTkxYzUyXkEyXkFqcGc@._V1_.jpg", "In 1930s Chicago, Frankenstein asks Dr. Euphronius to help create a companion. They give life to a murdered woman as the Bride, sparking romance, police interest, and radical social change.", "Drama, Horror, Romance", "126", "R", "1930s, mary shelley character, creature, scientist, chicago illinois", "FR", "67", "DOWN 24", "Maggie Gyllenhaal", "Maggie Gyllenhaal, Mary Shelley", "Jessie Buckley, Christian Bale, Annette Bening", "Jessie Buckley, Christian Bale, Annette Bening, Penélope Cruz", "USD 80,000,000", "USD 7,051,476", "USD 12,744,025", "USD 23,944,025", "Snug Harbor Cultural Center, Staten Island, New York City, New York, USA", "English, Spanish", "", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Ready or Not: Here I Come", "6.5", "45052", "https://www.imdb.com/title/tt33978029/", "https://m.media-amazon.com/images/M/MV5BZTM3N2EyMTEtNDhkMi00ZjNiLWI0MWUtOGViMjExODY3YTJhXkEyXkFqcGc@._V1_.jpg", "After surviving one deadly game, Grace and her sister Faith must now outrun four rival families competing for a powerful throne - winner takes all.", "Comedy, Horror, Thriller", "108", "R", "dark comedy, sequel, satanic cult, splatter horror, woman bound and gagged", "US", "85", "UP 8", "", "Guy Busick, R. Christopher Murphy", "Samara Weaving, Kathryn Newton, Elijah Wood", "Samara Weaving, Kathryn Newton, Elijah Wood, Sarah Michelle Gellar", "USD 17,000,000", "USD 9,075,271", "USD 22,986,054", "USD 39,568,785", "Toronto, Ontario, Canada", "English", "Dolby Atmos, Dolby Digital", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"The Super Mario Galaxy Movie", "6.3", "60620", "https://www.imdb.com/title/tt28650488/", "https://m.media-amazon.com/images/M/MV5BMGIzMGI4OWYtNzdkMy00MjJlLWJiMDMtZjY1Y2UwMzQ0YzY3XkEyXkFqcGc@._V1_.jpg", "Mario ventures into space, exploring cosmic worlds and tackling galactic challenges far from the familiar Mushroom Kingdom.", "Animation, Adventure, Comedy", "98", "PG", "3d, cgi animation, second part, kids family, based on video game", "JP", "63", "DOWN 8", "", "", "Brie Larson, Virginia Dare Jelenic, Benny Safdie", "Brie Larson, Virginia Dare Jelenic, Benny Safdie, Kevin Michael Richardson", "USD 110,000,000", "USD 131,703,340", "USD 429,340,750", "USD 1,005,042,750", "", "English", "Dolby Atmos, Dolby Digital, Dolby Surround 7.1, Auro 11.1, 12-Track Digital Sound, DTS:X, IMAX 6-Track", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Never Change!", "4.5", "419", "https://www.imdb.com/title/tt37899019/", "https://m.media-amazon.com/images/M/MV5BYWRiOTU4NDktNzU2Zi00MTUyLWJkNWEtYjIyMDMwODJlMDE2XkEyXkFqcGc@._V1_.jpg", "Former high school seniors reunite in their 30s to complete their education after a tornado abruptly ended their final year in 2005. As they return to the halls of North Meadows High, past relationships reignite and hidden truths ...", "Comedy", "98", "TV-MA", "", "US", "85", "UP 2643", "Marty Schousboe", "John Reynolds, Marty Schousboe", "Jo Firestone, Ayden Mayeri, Carmen Christopher", "Jo Firestone, Ayden Mayeri, Carmen Christopher, Gary Richardson", "", "", "", "", "Syracuse, New York, USA", "English", "", "", "", "0", "0", "Movie", "False", "False", "False"
"Wuthering Heights", "6.1", "81026", "https://www.imdb.com/title/tt32897959/", "https://m.media-amazon.com/images/M/MV5BNjNkNmNhOWUtZTFmOC00YmQ4LWEzYWQtZjdlMGU0MGRkN2YzXkEyXkFqcGc@._V1_.jpg", "A passionate and tumultuous love story set against the backdrop of the Yorkshire moors, exploring the intense and destructive relationship between Heathcliff and Catherine Earnshaw.", "Drama, Romance", "136", "R", "rain, erection, snow, public hanging, pale", "GB", "80", "DOWN 21", "Emerald Fennell", "Emily Brontë, Emerald Fennell", "Margot Robbie, Jacob Elordi, Hong Chau", "Margot Robbie, Jacob Elordi, Hong Chau, Shazad Latif", "USD 80,000,000", "USD 32,801,647", "USD 84,001,072", "USD 241,601,072", "Barnsley, South Yorkshire, England, UK", "English", "Dolby Digital, SDDS, Dolby Surround 7.1, DTS:X, 12-Track Digital Sound, Dolby Atmos, IMAX 6-Track, Datasat", "1.85 : 1", "Color", "0", "6", "Movie", "False", "False", "False"
"Spider-Man: No Way Home", "8.1", "1027557", "https://www.imdb.com/title/tt10872600/", "https://m.media-amazon.com/images/M/MV5BMmFiZGZjMmEtMTA0Ni00MzA2LTljMTYtZGI2MGJmZWYzZTQ2XkEyXkFqcGc@._V1_.jpg", "With Spider-Man&apos;s identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear.", "Action, Adventure, Fantasy", "148", "PG-13", "spider man character, superhero, marvel cinematic universe, villain, green goblin character", "US", "87", "UP 56", "Jon Watts", "Chris McKenna, Erik Sommers, Stan Lee", "Tom Holland, Zendaya, Benedict Cumberbatch", "Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon", "USD 200,000,000", "USD 260,138,569", "USD 814,866,759", "USD 1,921,426,073", "Iceland", "English, Tagalog", "Dolby Atmos, Dolby Digital, Dolby Surround 7.1, IMAX 6-Track, Auro 11.1, SDDS, DTS:X", "2.39 : 1", "Color", "35", "72", "Movie", "False", "False", "False"
"Avengers: Doomsday", "0", "0", "https://www.imdb.com/title/tt21357150/", "https://m.media-amazon.com/images/M/MV5BM2E1ZTJiZTgtZGI2Zi00MzAxLThhZjktMmU3M2E3Yzk3NjUxXkEyXkFqcGc@._V1_.jpg", "Plot under wraps.", "Action, Adventure, Sci-Fi", "0", "", "army, doctor doom character, sequel, fifth part, based on comic book", "US", "88", "UP 24", "", "Jack Kirby, Stan Lee, Stephen McFeely", "Robert Downey Jr., Pedro Pascal, Chris Hemsworth", "Robert Downey Jr., Pedro Pascal, Chris Hemsworth, Vanessa Kirby", "", "", "", "", "London, England, UK", "English", "Dolby Atmos, IMAX 6-Track, 12-Track Digital Sound, Dolby Surround 7.1", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Nuremberg", "7.4", "101055", "https://www.imdb.com/title/tt29567915/", "https://m.media-amazon.com/images/M/MV5BMWUzODNkYWUtMmMzOC00NzZjLTlkMTctOTkwM2I2ZWI1MTlmXkEyXkFqcGc@._V1_.jpg", "A WWII psychiatrist evaluates Nazi leaders before the Nuremberg trials, growing increasingly obsessed with understanding evil as he forms a disturbing bond with Hermann Göring.", "Biography, Drama, History", "148", "PG-13", "nuremberg trials, luxembourg, man urinates outside, year 1947, man touches a man", "HU", "74", "DOWN 17", "James Vanderbilt", "James Vanderbilt, Jack El-Hai", "Rami Malek, Russell Crowe, Michael Shannon", "Rami Malek, Russell Crowe, Michael Shannon, Leo Woodall", "", "USD 3,883,295", "USD 14,524,692", "USD 65,795,973", "Duna Palota, Budapest, Hungary", "English, German", "Dolby Atmos", "2.39 : 1", "Color", "4", "19", "Movie", "False", "False", "False"
"Iron Lung", "5.9", "27585", "https://www.imdb.com/title/tt27564844/", "https://m.media-amazon.com/images/M/MV5BYzkxOGU1YmQtNDc0Ni00M2JhLWFlZjktODMzOGU3MjQxMTQ0XkEyXkFqcGc@._V1_.jpg", "In a post-apocalyptic future after &quot;The Quiet Rapture&quot; event, a convict explores a blood ocean on a desolate moon using a submarine called the &quot;Iron Lung&quot; to search for missing stars/planets.", "Horror, Sci-Fi", "125", "R", "post apocalypse, based on video game, space sci fi, psychological horror, body horror", "US", "47", "DOWN 26", "Mark Fischbach", "Mark Fischbach, David Szymanski", "Mark Fischbach, Caroline Kaplan, Troy Baker", "Mark Fischbach, Caroline Kaplan, Troy Baker, Elsie Lovelock", "USD 3,000,000", "USD 17,800,000", "USD 40,851,941", "USD 50,036,487", "Austin, Texas, USA", "English", "Dolby Digital", "1.85 : 1", "Color", "0", "2", "Movie", "False", "False", "False"
"Normal", "6.3", "15423", "https://www.imdb.com/title/tt31195136/", "https://m.media-amazon.com/images/M/MV5BOGIyZjgwMzMtODEzZS00YmFlLTg3NmItOWMwYzhlZDBjY2U3XkEyXkFqcGc@._V1_.jpg", "Centers on a temporary small-town sheriff who uncovers dark mysteries after a local bank robbery.", "Action, Crime, Thriller", "91", "R", "small town, sheriff, snowstorm, suicidal, asian", "CA", "91", "UP 15", "Ben Wheatley", "Derek Kolstad, Bob Odenkirk", "Bob Odenkirk, Ryan Allen, Billy MacLellan", "Bob Odenkirk, Ryan Allen, Billy MacLellan, Lena Headey", "USD 17,000,000", "USD 2,550,311", "USD 5,071,290", "USD 5,978,949", "Winnipeg, Manitoba, Canada", "English, Japanese", "", "2.39 : 1", "Color", "0", "1", "Movie", "False", "False", "False"
"Crime 101", "6.8", "82736", "https://www.imdb.com/title/tt32430579/", "https://m.media-amazon.com/images/M/MV5BZThlN2M4ZTUtYTU3Mi00MDE5LWFhYWUtNjkxMWEwNjUwNDVhXkEyXkFqcGc@._V1_.jpg", "An meticulous jewel thief risks his flawless record against an equally obsessive detective and a volatile rival, while an underestimated insurance broker turns accomplice after decades of professional disrespect.", "Crime, Drama, Thriller", "140", "R", "los angeles california, diamond, heist, male underwear, downtown los angeles", "US", "86", "DOWN 16", "Bart Layton", "Bart Layton, Don Winslow", "Chris Hemsworth, Mark Ruffalo, Barry Keoghan", "Chris Hemsworth, Mark Ruffalo, Barry Keoghan, Peter Banifaz", "USD 90,000,000", "USD 14,251,834", "USD 36,588,336", "USD 72,900,246", "Echo Park, Los Angeles, California, USA", "English", "DTS:X, Dolby Surround 5.1, Dolby Digital, SDDS, Dolby Atmos", "2.39 : 1", "Color", "0", "0", "Movie", "False", "False", "False"
"Inception", "8.8", "2827188", "https://www.imdb.com/title/tt1375666/", "https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_.jpg", "A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.", "Adventure, Sci-Fi, Thriller", "148", "PG-13", "dream, ambiguous ending, subconscious, surprise ending, mindbender", "GB", "99", "DOWN 2", "Christopher Nolan", "", "Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page", "Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy", "USD 160,000,000", "USD 62,785,337", "USD 292,587,330", "USD 839,797,462", "Fortress Mountain, Kananaskis Country, Alberta, Canada", "English, Japanese, French", "Dolby Digital, DTS, SDDS", "2.39 : 1", "Color", "160", "220", "Movie", "False", "False", "False"
